Type,Environment,Width,Depth,Amplitude,Wavelength,Sandbody thickness,Belt Width,Source
MEANDERING,FLUVIAL UNDEFINED,49.09486674,7.327386083,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,130.321627,8.547148067,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,138.0246064,10.76786138,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,892.2926119,12.24210921,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,1539.705017,16.65714453,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,1003.633075,17.23697422,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,951.8419122,19.57830251,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,709.1648494,22.09019246,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,399.3438138,22.09019246,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,1000.892293,22.18487875,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,867.0363094,26.4372946,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,439.0338446,27.31080271,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,1259.352884,29.40692471,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,447.9473887,29.17029933,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,842.4948855,33.88094212,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,1259.352884,36.906824,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,77.72420302,97.86565445,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,1185.14228,31.22521911,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,1058.254598,31.22521911,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,944.9521904,32.29665239,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,1365.355995,20.30917621,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,1219.173667,19.96945904,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,753.44088,18.50969521,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,775.0759518,17.89564075,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,57.30555478,5.779692884,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,67.91523584,6.079708877,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,76.05846232,6.504094059,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,64.17665087,6.504094059,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,71.87161057,7.699222783,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,80.48921743,8.236655763,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,71.87161057,8.886238163,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,64.17665087,9.426684551,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,113.0521142,4.563947703,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,141.7879568,4.563947703,,,,,"Leeder, 1973"
UNKNOWN,FLUVIAL UNDEFINED,34.07614121,0.702027568,30.28328666,628.1237298,,,"Colombera et al., 2018"
UNKNOWN,FLUVIAL UNDEFINED,34.02522514,3.480700588,30.28328666,628.1237298,,,"Colombera et al., 2018"
